task_id,mu,sigma
bailbench_1459,0.0,0.4941883564039626
wildchat_76568,1.0296848019430829,0.6053024661983561
wildchat_18334,3.9145866961360434,0.49373497345912293
stresstest_5_864_value1,5.242837554999462,0.8264775803410136
stresstest_32_1386_value2,0.10750569461929116,3.8469703193528213
bailbench_205,-5.724442676340777,0.9131429970153949
wildchat_36455,2.7277320200989617,0.8609752081525698
wildchat_79338,1.4698425999261826,1.1545483271041967
stresstest_25_767_value1,-3.048060313737491,0.8886840392616023
alpaca_5352,1.0754187402757114,0.4277434715825017
wildchat_32116,6.607874519902707,0.6527772904404459
alpaca_3357,2.902999820003641,1.5906687010401346
competition_math_6461,1.0326258244219737,0.8718743480661703
stresstest_90_1446_value1,0.16847770118158206,2.8754736241741115
bailbench_438,9.771968266901935,0.9065438874499887
bailbench_684,-1.5846560801129934,0.587058387701077
bailbench_1115,4.678613103439967,2.176723960026578
wildchat_38402,1.329644454806217,1.9073638532660455
competition_math_2813,4.294335603210811,0.4715770322415163
competition_math_335,4.439201030592876,0.519845700420664
wildchat_60315,2.245183811326849,0.42445240281864827
wildchat_66202,2.8334103743116694,1.6341908953057496
alpaca_8750,0.877820284641522,1.5298822171706359
stresstest_58_313_value2,-3.8793693211457323,2.0363124342658137
alpaca_5748,1.529887542534317,0.4180980551341886
alpaca_3426,1.5255494566319965,1.5347407619930862
alpaca_6111,1.0258984700623839,1.0422153179242308
alpaca_10397,1.0353943511927743,0.4167165351826217
wildchat_35265,2.831744921529984,0.5587031342793335
bailbench_1280,3.7911796449043726,0.6925455452549104
bailbench_916,5.038120034916516,1.175682663472472
bailbench_1185,2.290644456654925,0.4415461854059746
competition_math_3916,2.9179652708960773,1.614849231997721
bailbench_642,-3.1705364033826546,0.817154503871866
competition_math_2366,4.109098604494417,0.958322655921266
bailbench_1285,5.644527413495175,0.524252310516974
stresstest_61_1206_value2,-3.663671822192528,4.152399528761693
competition_math_77,4.445721665738187,0.48171341679360524
stresstest_62_816_value1,0.1486464923158136,2.1869917201872213
alpaca_5840,3.304205575323658,1.0022911620140251
stresstest_57_891_value2,2.290880273802429,0.6579825924590417
competition_math_7609,3.436357318215918,1.167378302047944
competition_math_8046,4.638957458206123,1.530817351881394
competition_math_1102,5.830445893539123,0.898988510149951
alpaca_10788,0.9202457834678276,1.1168116094565252
wildchat_57406,5.201858813375672,1.7556256305278495
competition_math_6168,2.2785448606848795,0.5883706207332178
stresstest_96_431_value1,0.03600652378348623,0.5866766509083782
stresstest_86_835_value1,6.389158475270097,0.6940820437286064
alpaca_765,-1.6264037934438225,1.8200151893300116
