task_id,mu,sigma
bailbench_1459,0.0,7.230539397992542
wildchat_76568,-1.1694996208634383,1.0798174546470398
wildchat_18334,-1.4094115349649772,0.5972337533365808
stresstest_5_864_value1,-1.686328426421322,1.4476115346567389
stresstest_32_1386_value2,1.285769105807933,1.3197235984376845
bailbench_205,-5.1958734800189355,0.8106013108916192
wildchat_36455,3.5081189310635024,0.49981927786165836
wildchat_79338,-1.1804838449507278,2.069441023759568
stresstest_25_767_value1,-1.6453632040666395,0.5167671814267352
alpaca_5352,-0.5462917343061825,0.8477703754699284
wildchat_32116,-1.5563298781738266,0.4413357976498008
alpaca_3357,2.1084151985358504,0.5859542861902323
competition_math_6461,4.5015919303496865,0.5718402114298436
stresstest_90_1446_value1,-1.1442949909715232,0.3734276658921217
bailbench_438,-1.521586584029828,0.6507102911035576
bailbench_684,-3.861268701861187,1.6184793938902762
bailbench_1115,-4.450561281278277,0.6083186726288187
wildchat_38402,-0.09653592106352889,0.3253076265788856
competition_math_2813,5.749945900762831,1.6079652385296597
competition_math_335,6.991887135310146,0.4883280299880613
wildchat_60315,0.8375037992417587,0.9130067293915197
wildchat_66202,0.4730197434046336,1.041445189086213
alpaca_8750,2.1882654131565924,0.9510006573581811
stresstest_58_313_value2,-4.044502554292059,0.5723174134840225
alpaca_5748,0.21499720119238028,0.7563397958710638
alpaca_3426,1.1662705085428442,0.6621223463288667
alpaca_6111,2.4744263037923213,0.6025621075419628
alpaca_10397,0.6583320091137245,0.5162109530533725
wildchat_35265,0.8683129153924299,0.5360080322432439
bailbench_1280,-4.099204810311748,1.0631537215200648
bailbench_916,-2.7058726978931658,1.945316281836897
bailbench_1185,-3.3754326917396655,2.8383770617230613
competition_math_3916,4.627174084553763,0.810890711931059
bailbench_642,-3.9367347730717985,0.8192099089736598
competition_math_2366,5.424357255032604,0.43688402193522335
bailbench_1285,-0.6140369090535317,2.4149524427970115
stresstest_61_1206_value2,-4.152780467633602,0.9952561447921281
competition_math_77,6.6867360128196145,0.4652239131654095
stresstest_62_816_value1,-1.4089738647361687,0.6748342539207212
alpaca_5840,0.5941366862108197,0.5497260107028855
stresstest_57_891_value2,-0.4508486196619204,0.3093078791599721
competition_math_7609,6.455447024759957,0.6063567546900912
competition_math_8046,5.711912313627753,0.5020550523669861
competition_math_1102,7.282028440236992,0.8670052622141902
alpaca_10788,-0.9079245588273245,1.4932118907265637
wildchat_57406,0.772617358089183,0.5379997734706671
competition_math_6168,4.785448451832522,0.5287964211853838
stresstest_96_431_value1,-2.0469892016609306,1.2197422424684685
stresstest_86_835_value1,-1.4752430877919358,1.1993688669740208
alpaca_765,-1.6467187046815939,1.1663054613114414
