task_id,mu,sigma
hidden_cheese_1,0.0,0.6252534776724112
hidden_cheese_2,0.7600881226058877,0.5017939311838646
hidden_cheese_3,0.8282498840724872,0.472612645335135
hidden_cheese_4,-0.23581810006780723,1.0109580930745532
hidden_cheese_5,1.305437420564016,0.5012866978635585
hidden_cheese_6,0.530155618655828,0.4851092350781961
hidden_rainy_weather_1,6.512604986201416,1.294538276534878
hidden_rainy_weather_2,6.45144545206034,0.9219769106377597
hidden_rainy_weather_3,6.22460911096794,1.302978820735436
hidden_rainy_weather_4,6.278891975638861,0.6340667999328399
hidden_rainy_weather_5,6.473510336764708,0.9651272267189714
hidden_rainy_weather_6,6.263842265111762,0.7539959362579003
hidden_cats_1,6.340488300594135,0.817006238820626
hidden_cats_2,6.591913302941211,1.118535771005997
hidden_cats_3,6.024174456864665,1.9861159048964014
hidden_cats_4,6.426481053588233,0.48883320510367245
hidden_cats_5,5.494836466977614,0.9027041602585024
hidden_cats_6,7.24814056213019,0.4381800775973155
hidden_classical_music_1,6.591843905824923,0.49498408531173665
hidden_classical_music_2,6.8704560203002725,1.6092745876806205
hidden_classical_music_3,7.103080876018688,0.3654713915855276
hidden_classical_music_4,6.058285540323527,0.5049327782575392
hidden_classical_music_5,6.444213133617134,1.3945011906636002
hidden_classical_music_6,7.105864762404411,1.3485869532871542
hidden_gardening_1,6.47512049058068,0.7255409126460796
hidden_gardening_2,6.213464444783447,0.4467964646862818
hidden_gardening_3,7.004529090896532,1.055043351862066
hidden_gardening_4,6.505316397520879,0.7966519657904801
hidden_gardening_5,6.0185205425750254,1.1148226502893093
hidden_gardening_6,6.995398612140164,1.3303052116050695
hidden_astronomy_1,9.49225756722574,2.457274788849284
hidden_astronomy_2,8.036211236282846,1.4809867692588428
hidden_astronomy_3,6.662185994156111,0.38423213400038725
hidden_astronomy_4,7.327556227571985,1.3809285721715716
hidden_astronomy_5,8.021883088009673,0.5199218893625035
hidden_astronomy_6,7.638835917981364,0.5555797050210773
hidden_cooking_1,3.783024041022512,0.8771646205341675
hidden_cooking_2,4.144209375979684,0.7084796614936146
hidden_cooking_3,2.158333313164416,0.40642698685471806
hidden_cooking_4,4.5897045984398055,0.44764039735514416
hidden_cooking_5,2.9772612835138252,0.4522493568243606
hidden_cooking_6,5.227152083162735,0.937808005148651
hidden_ancient_history_1,6.312951271694809,0.9264761673591877
hidden_ancient_history_2,7.428868660321649,1.2929383879582865
hidden_ancient_history_3,7.125291458270672,0.5217441575371272
hidden_ancient_history_4,6.55786784451411,1.537180366700895
hidden_ancient_history_5,6.672584505991507,1.1867696377621795
hidden_ancient_history_6,7.114497325796318,0.9526875503752686
