condition,task_id,rollout_idx,role,mean,median,std,min,max,n_tokens
impossible_numeric_8turn,imp_countdown_156,0,user,-0.8926572799682617,-0.8800247311592102,1.9918856620788574,-5.234226226806641,4.959415912628174,143
impossible_numeric_8turn,imp_countdown_156,0,assistant,-1.126050353050232,-1.0032800436019897,2.194688081741333,-9.566916465759277,6.432608127593994,4092
impossible_numeric_8turn,imp_countdown_156,1,user,-1.0032154321670532,-0.8152205944061279,2.191666841506958,-7.989258289337158,4.959415912628174,150
impossible_numeric_8turn,imp_countdown_156,1,assistant,-1.385095477104187,-1.2358189821243286,2.1881041526794434,-9.649385452270508,6.319010257720947,4094
impossible_numeric_8turn,imp_countdown_156,2,user,-0.6354663968086243,-0.6515178084373474,1.899422526359558,-5.451208114624023,4.959415912628174,150
impossible_numeric_8turn,imp_countdown_156,2,assistant,-1.2052006721496582,-1.195932388305664,2.2080936431884766,-8.863790512084961,8.760496139526367,4098
impossible_numeric_8turn,imp_countdown_156,3,user,-0.9678637385368347,-0.7943236231803894,2.089451789855957,-7.547025203704834,4.959415912628174,155
impossible_numeric_8turn,imp_countdown_156,3,assistant,-1.2372925281524658,-1.136096715927124,2.1089162826538086,-8.93878173828125,6.0531392097473145,4092
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,0,user,-0.6533377766609192,-0.6080504059791565,2.249372720718384,-6.810251712799072,6.150301456451416,150
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,0,assistant,-0.1482326239347458,-0.10713648796081543,1.90562105178833,-9.239710807800293,7.2115254402160645,4095
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,1,user,-0.3969317078590393,-0.3259631097316742,2.1926419734954834,-5.977477550506592,6.150301456451416,138
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,1,assistant,-0.3344765603542328,-0.2586393356323242,2.0486276149749756,-9.630500793457031,7.846650123596191,4016
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,2,user,-0.6119764447212219,-0.5992302894592285,2.5040180683135986,-8.76901912689209,6.150301456451416,148
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,2,assistant,0.004814408719539642,0.056133002042770386,2.1451070308685303,-10.476151466369629,8.753111839294434,4094
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,3,user,-0.24434447288513184,-0.24623507261276245,2.2073814868927,-6.762731075286865,6.150301456451416,137
impossible_numeric_8turn,imp_fraction_1_6_to_2_3,3,assistant,0.009302165359258652,0.07801279425621033,2.155240774154663,-9.399283409118652,7.779372692108154,4096
impossible_numeric_8turn,imp_money_57_six_coins,0,user,-0.06884973496198654,-0.180830180644989,2.0094921588897705,-5.371832370758057,5.919657230377197,143
impossible_numeric_8turn,imp_money_57_six_coins,0,assistant,0.19429266452789307,0.22889691591262817,2.1803436279296875,-7.343201160430908,7.70480489730835,3913
impossible_numeric_8turn,imp_money_57_six_coins,1,user,-0.2042856365442276,-0.180830180644989,2.1390445232391357,-5.383903980255127,5.919657230377197,147
impossible_numeric_8turn,imp_money_57_six_coins,1,assistant,0.43087640404701233,0.44537729024887085,2.101469039916992,-6.457858085632324,8.02717399597168,3938
impossible_numeric_8turn,imp_money_57_six_coins,2,user,-0.3915274739265442,-0.3527601361274719,2.2193856239318848,-6.014984130859375,5.919657230377197,141
impossible_numeric_8turn,imp_money_57_six_coins,2,assistant,-0.01271845493465662,0.041715145111083984,2.174431562423706,-8.4483003616333,9.712175369262695,3666
impossible_numeric_8turn,imp_money_57_six_coins,3,user,-0.3902316391468048,-0.23864617943763733,2.1175127029418945,-4.6427202224731445,5.919657230377197,152
impossible_numeric_8turn,imp_money_57_six_coins,3,assistant,0.27208906412124634,0.2517770230770111,2.0693647861480713,-6.298292636871338,8.706056594848633,3926
impossible_numeric_8turn,imp_money_16_to_57_three_ops,0,user,-0.46359366178512573,-0.41720640659332275,2.370326519012451,-6.549027919769287,6.467000961303711,140
impossible_numeric_8turn,imp_money_16_to_57_three_ops,0,assistant,-0.05770094692707062,0.029288113117218018,2.147387981414795,-8.020970344543457,7.898399353027344,3966
impossible_numeric_8turn,imp_money_16_to_57_three_ops,1,user,-0.17363114655017853,-0.33301764726638794,2.069065570831299,-4.618199348449707,6.467000961303711,129
impossible_numeric_8turn,imp_money_16_to_57_three_ops,1,assistant,0.09105581790208817,0.15797820687294006,2.102491855621338,-7.720962047576904,8.554403305053711,4097
impossible_numeric_8turn,imp_money_16_to_57_three_ops,2,user,-0.6248168349266052,-0.7408779263496399,2.4446146488189697,-7.792999744415283,6.467000961303711,141
impossible_numeric_8turn,imp_money_16_to_57_three_ops,2,assistant,-0.4117606282234192,-0.3127434253692627,2.152893543243408,-8.379405975341797,7.200714588165283,4065
impossible_numeric_8turn,imp_money_16_to_57_three_ops,3,user,-0.305494487285614,-0.4089849591255188,2.375929117202759,-6.745186805725098,6.467000961303711,135
impossible_numeric_8turn,imp_money_16_to_57_three_ops,3,assistant,0.09704472124576569,0.21976220607757568,2.190020799636841,-7.833383083343506,7.848958969116211,4096
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,0,user,-0.19089695811271667,-0.29005271196365356,2.3801231384277344,-6.3506059646606445,5.854428768157959,159
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,0,assistant,0.0033520373981446028,0.024868667125701904,2.12974214553833,-8.963122367858887,7.15277099609375,4095
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,1,user,-0.36333170533180237,-0.290382981300354,2.4774014949798584,-7.077531337738037,5.854428768157959,165
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,1,assistant,-0.022458456456661224,0.011544972658157349,2.151277780532837,-8.861632347106934,7.937042713165283,4094
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,2,user,-0.31113630533218384,-0.15435683727264404,2.5184555053710938,-7.086751937866211,5.854428768157959,160
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,2,assistant,-0.2581442594528198,-0.28249815106391907,2.077242136001587,-6.515528678894043,7.049181938171387,4094
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,3,user,-0.25998684763908386,-0.33863550424575806,2.336704969406128,-8.698553085327148,5.854428768157959,171
impossible_numeric_8turn,imp_dice_quadruple_sum17_prod120,3,assistant,0.25015243887901306,0.2971370220184326,2.129063367843628,-8.58477783203125,8.57831859588623,4096
wildchat_8turn,wildchat_4256,0,user,0.06170252710580826,0.3327760100364685,2.229151487350464,-5.658329963684082,6.944075584411621,100
wildchat_8turn,wildchat_4256,0,assistant,0.16521286964416504,0.09677597880363464,1.997719168663025,-6.937610149383545,7.920931339263916,3948
wildchat_8turn,wildchat_4256,1,user,0.4772760570049286,0.8669098615646362,2.428788185119629,-7.41141939163208,6.306130409240723,89
wildchat_8turn,wildchat_4256,1,assistant,0.17079858481884003,0.11428150534629822,1.986155390739441,-7.57727575302124,8.711286544799805,3786
wildchat_8turn,wildchat_4256,2,user,0.1650569885969162,0.3798300623893738,2.256856918334961,-6.95193338394165,4.82680606842041,94
wildchat_8turn,wildchat_4256,2,assistant,0.07276006042957306,0.003132462501525879,2.0931637287139893,-7.784538745880127,8.255905151367188,3488
wildchat_8turn,wildchat_4256,3,user,0.14631137251853943,0.2666376233100891,2.318521738052368,-7.270535945892334,6.884650230407715,93
wildchat_8turn,wildchat_4256,3,assistant,0.17567740380764008,0.10890954732894897,2.0222809314727783,-6.888996601104736,9.186958312988281,4077
wildchat_8turn,wildchat_2204,0,user,-0.9634910821914673,-0.9054538607597351,2.124481201171875,-7.066582679748535,3.436760425567627,81
wildchat_8turn,wildchat_2204,0,assistant,-0.5148302912712097,-0.6365466713905334,2.228602409362793,-9.446784973144531,10.61036491394043,3959
wildchat_8turn,wildchat_2204,1,user,-0.7335436940193176,-0.4798669219017029,1.9321551322937012,-5.738595962524414,3.436760425567627,76
wildchat_8turn,wildchat_2204,1,assistant,1.1066269874572754,0.9143766164779663,2.634417772293091,-7.554577350616455,13.57457160949707,3970
wildchat_8turn,wildchat_2204,2,user,-1.9201527833938599,-1.9410994052886963,2.642956018447876,-8.880701065063477,3.8092422485351562,92
wildchat_8turn,wildchat_2204,2,assistant,-0.0784510150551796,-0.1275067925453186,2.689103364944458,-7.68977689743042,10.98114013671875,2545
wildchat_8turn,wildchat_2204,3,user,-1.521040439605713,-1.1604139804840088,2.372826337814331,-6.808512210845947,3.436760425567627,70
wildchat_8turn,wildchat_2204,3,assistant,0.004568521864712238,-0.15782642364501953,2.4075233936309814,-8.58597469329834,10.470827102661133,3924
wildchat_8turn,wildchat_88,0,user,-1.5046318769454956,-1.3903944492340088,2.087430000305176,-6.5388970375061035,3.068345546722412,63
wildchat_8turn,wildchat_88,0,assistant,-0.40786829590797424,-0.5417776703834534,2.31717848777771,-8.592880249023438,8.55892276763916,2022
wildchat_8turn,wildchat_88,1,user,-2.1210289001464844,-1.546457290649414,2.2513391971588135,-7.475712299346924,2.2371838092803955,55
wildchat_8turn,wildchat_88,1,assistant,0.4474985897541046,0.5276197791099548,2.2969679832458496,-6.6388959884643555,8.739042282104492,3737
wildchat_8turn,wildchat_88,2,user,-0.6135414838790894,-0.669340193271637,2.1126506328582764,-6.50741720199585,3.131725788116455,63
wildchat_8turn,wildchat_88,2,assistant,-0.3473719358444214,-0.3481043577194214,2.312760591506958,-10.530678749084473,8.721954345703125,4096
wildchat_8turn,wildchat_88,3,user,-1.9952876567840576,-1.5512011051177979,2.2829477787017822,-7.5006422996521,2.362126350402832,61
wildchat_8turn,wildchat_88,3,assistant,0.6046497821807861,0.590015172958374,2.195819616317749,-6.520592212677002,8.182053565979004,4095
wildchat_8turn,wildchat_91,0,user,-0.08810286968946457,0.18918955326080322,2.1106908321380615,-6.944063663482666,4.397600173950195,147
wildchat_8turn,wildchat_91,0,assistant,0.376518189907074,0.2574809789657593,1.843697190284729,-4.469656944274902,7.294177055358887,149
wildchat_8turn,wildchat_91,1,user,-0.23525342345237732,-0.13632327318191528,2.128279447555542,-6.932508945465088,4.401015281677246,153
wildchat_8turn,wildchat_91,1,assistant,0.16546083986759186,0.12395912408828735,1.7938590049743652,-5.919272422790527,7.272021293640137,161
wildchat_8turn,wildchat_91,2,user,-0.11043098568916321,0.1579187512397766,2.074112892150879,-7.951523303985596,4.3800249099731445,151
wildchat_8turn,wildchat_91,2,assistant,0.7392905950546265,0.6246232390403748,1.8040165901184082,-3.593636989593506,7.289699077606201,169
wildchat_8turn,wildchat_91,3,user,-0.16819819808006287,0.028557956218719482,2.0282669067382812,-6.268162250518799,4.3800249099731445,157
wildchat_8turn,wildchat_91,3,assistant,0.6729599237442017,0.5123942494392395,1.8683394193649292,-3.5033769607543945,7.289699077606201,185
wildchat_8turn,wildchat_454,0,user,-0.2247685343027115,-0.30051422119140625,2.116523504257202,-4.645427227020264,4.4673027992248535,77
wildchat_8turn,wildchat_454,0,assistant,0.5832644104957581,0.5117844939231873,2.127185821533203,-7.173027992248535,9.343550682067871,4044
wildchat_8turn,wildchat_454,1,user,-0.5171611309051514,-0.25184765458106995,1.9850460290908813,-6.018101215362549,3.700500011444092,72
